,,,,,,,,,2 QB,Dynasty,Dynasty 2 QB,AAV,,Health Report,
T614,Jordan Miller,DEN,DT,-,-,-,-,-,-,-,-,,,,
T614,Jahan Dotson,PHI,WR,"1,589.22",-,169.80,-,262.60,-,328.00,325.30,,0.01,,
T614,Odafe Oweh,BAL,LB,649.00,-,171.23,-,-,-,-,-,,,,
T614,Justin Shorter,LV,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Matt Araiza,KC,P,408.00,-,168.38,-,-,-,-,-,,0.26,,
T614,Keshawn Banks,FA,LB,-,-,169.91,-,-,-,-,-,,,,
T614,Luq Barcoo,DET,CB,-,-,169.95,-,-,-,-,-,,,,
T614,Daniel Bellinger,NYG,TE,-,-,169.94,-,241.19,-,-,-,,0.00,Ques,Undisclosed
T614,Cameron Thomas,CLE,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Jaylen Key,CIN,S,-,-,170.07,-,-,-,-,-,,,,
T614,Starling Thomas,ARI,CB,-,-,170.00,-,-,-,-,-,,,IR,Knee - ACL
T614,Thomas Greaney,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Beanie Bishop,PIT,CB,-,-,169.98,-,-,-,-,-,,,,
T614,Dre Miller,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Dylan Laube,LV,RB,-,-,169.97,-,241.21,-,-,-,,,,
T614,Charles Woods,LAR,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Lucas Krull,DEN,TE,-,-,169.99,-,241.36,-,-,-,,,,
T614,Mekhi Blackmon,MIN,CB,-,-,170.56,-,-,-,-,-,,,,
T614,Elijah Jones,ARI,CB,-,-,169.99,-,-,-,-,-,,,,
T614,Keric Wheatfall,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Gabriel Murphy,MIN,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jarius Monroe,NYJ,S,725.00,-,170.00,-,-,-,-,-,,,,
T614,Ife Adeyi,PHI,WR,-,-,-,-,-,-,-,434.00,,,,
T614,Sone Ntoh,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Josh Caldwell,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Connor Bazelak,TB,QB,-,-,-,-,-,529.90,498.30,-,,,,
T614,Isaiah McGuire,CLE,DE,-,-,170.66,-,-,-,-,-,,,,
T614,Tyler Hudson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Treylon Burks,TEN,WR,-,-,169.98,-,241.40,-,-,396.60,1.26,0.00,IR,Collarbone
T614,Lewis Cine,PHI,S,-,-,170.00,-,-,-,-,-,,,Ques,Groin
T614,Nakobe Dean,PHI,LB,334.00,-,172.90,-,-,-,-,-,,0.06,PUP-P,Knee
T614,Jermaine Johnson,NYJ,DE,-,-,172.85,-,-,-,-,-,,0.01,Ques,Achilles
T614,Zion Logue,BUF,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Kenny McIntosh,SEA,RB,-,-,169.99,-,241.20,-,-,-,,,IR,Knee - ACL
T614,Kurtis Rourke,SF,QB,-,-,169.99,-,-,-,-,426.20,,,NFI-A,Knee
T614,Jason Moore,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Corey Crooms,FA,WR,-,-,-,-,-,-,-,461.00,,,Ques,Undisclosed
T614,Jeff Foreman,FA,WR,-,-,-,-,-,458.50,-,-,,,Ques,Knee
T614,Craig Reynolds,DET,RB,"1,306.40",-,169.94,-,243.37,-,609.40,-,,0.00,,
T614,Max Brosmer,MIN,QB,-,-,-,-,-,613.00,548.40,601.20,,,,
T614,Jha'Quan Jackson,TEN,WR,-,-,169.97,-,-,-,-,-,,,,
T614,Logan Lee,PIT,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Zach VanValkenburg,FA,LB,-,-,169.91,-,-,-,-,-,,,Ques,Undisclosed
T614,Nolan Smith,PHI,LB,-,-,174.57,-,-,-,-,-,,0.06,,
T614,Tyrique Stevenson,CHI,CB,569.00,-,175.67,-,-,-,-,-,,0.07,,
T614,Travon Walker,JAX,DE,308.00,-,175.09,-,-,-,-,-,,0.18,,
T614,Bub Means,NO,WR,-,-,169.99,-,244.75,-,-,391.40,,0.00,IR,Lower Leg
T614,Henry To'oTo'o,HOU,LB,322.00,-,171.51,-,-,-,-,-,,,,
T614,Jared Bartlett,GB,LB,-,-,-,-,-,-,-,-,,,,
T614,Jordan Jefferson,JAX,DT,-,-,169.72,-,-,-,-,-,,,,
T614,Tykee Smith,TB,CB,624.00,-,175.52,-,-,-,-,-,,,,
T614,Jordan Battle,CIN,S,437.00,-,174.09,-,-,-,-,-,,,,
T614,Christian Harris,HOU,LB,-,-,169.98,-,-,-,-,-,,0.01,Ques,Calf
T614,DeMarcco Hellams,ATL,S,-,-,170.00,-,-,-,-,-,,,,
T614,Jonathan Harris,MIN,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Ashton Dulin,IND,WR,-,-,169.99,-,-,-,446.80,-,,0.00,,
T614,Nikola Kalinic,ATL,TE,-,-,170.00,-,-,-,-,-,,,,
T614,Swayze Bozeman,CHI,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Myron Mitchell,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Sincere McCormick,LV,RB,-,-,170.21,-,250.31,-,-,-,,0.00,,
T614,Ricky Barber,WAS,DT,-,-,-,-,-,-,-,-,,,,
T614,Joshua Simon,ATL,TE,-,-,-,-,-,-,-,-,,,,
T614,Leroy Watson,MIN,OT,-,-,-,-,-,-,-,-,,,,
T614,Lew Nichols,PIT,RB,-,-,169.99,-,-,-,-,-,,0.00,,
T614,Kamal Hadden,GB,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Deonte Harty,FA,WR,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T614,Jose Ramirez,TB,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Devontae Jackson,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Brett Gabbert,FA,QB,-,-,-,-,-,-,-,-,,,,
T614,Julius Wood,TEN,S,-,-,170.00,-,-,-,-,-,,,Reserve-Sus,Suspension
T614,Ivan Pace,MIN,LB,342.00,-,171.51,-,-,-,-,-,,,,
T614,Anthony Pittman,DET,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Dorian Williams,BUF,LB,392.00,-,170.50,-,-,-,-,-,,,,
T614,Nick Anderson,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Dillon Gabriel,CLE,QB,"1,318.31",-,170.05,96.52,246.80,309.40,335.50,231.30,1.70,0.01,,
T614,Tatum Bethune,SF,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Mohamed Kamara,MIA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Jerrick Reed,SEA,S,-,-,170.00,-,-,-,-,-,,,,
T614,Nick Nash,ATL,WR,"1,718.60",-,169.99,-,-,-,302.70,281.00,,,,
T614,Kairee Robinson,FA,RB,-,-,-,-,-,-,-,561.20,,,,
T614,Jacoby Windmon,CAR,LB,-,-,170.52,-,-,-,-,-,,,,
T614,Derek Wright,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Knee
T614,Shawn Bane,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Brandon Dillon,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Jack Kiser,JAX,LB,-,-,170.44,-,-,-,-,-,,,,
T614,Jody Fortson,FA,TE,-,-,170.00,-,-,-,-,-,,,Ques,Knee - ACL
T614,Sam Howell,MIN,QB,"1,212.99",-,169.95,-,255.98,333.20,-,279.50,,0.00,,
T614,Gunner Olszewski,NYG,WR,-,-,169.97,-,-,386.00,-,-,,,,
T614,Storm Duck,MIA,CB,-,-,170.42,-,-,-,-,-,,,,
T614,Christian Roland-Wallace,KC,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Patrick Herbert,JAX,TE,-,-,-,-,-,370.00,-,-,,,,
T614,Devron Harper,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Micah Bernard,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Dane Belton,NYG,S,-,-,169.98,-,-,-,-,-,,,,
T614,Jack Campbell,DET,LB,373.00,-,167.52,-,-,-,-,-,,0.93,,
T614,Sebastian Castro,PIT,S,-,-,-,-,-,-,-,-,,,,
T614,Tyler Goodson,IND,RB,-,-,169.98,-,244.42,-,-,-,,0.00,Ques,Elbow
T614,Levelle Bailey,DEN,LB,-,-,170.00,-,-,-,-,-,,,,
T614,DeWayne Carter,BUF,DT,-,-,170.03,-,-,-,-,-,,,,
T614,Evan Williams,GB,S,625.00,-,170.42,-,-,-,-,-,3.59,,,
T614,Tahj Washington,MIA,WR,-,-,169.99,-,-,-,-,-,,,,
T614,Malik Washington,MIA,WR,293.90,-,170.04,-,274.98,310.30,303.90,263.20,,0.00,,
T614,Cameron Mitchell,CLE,CB,-,-,170.29,-,-,-,-,-,,,,
T614,Brandon Joseph,FA,S,-,-,169.86,-,-,-,-,-,,,,
T614,Evan Hull,PIT,RB,-,-,169.99,-,-,-,-,-,,,,
T614,Nehemiah Pritchett,SEA,CB,-,-,169.99,-,-,-,-,-,,,,
T614,Jaylin Simpson,GB,S,-,-,169.91,-,-,-,-,-,,,,
T614,Terique Owens,SF,WR,-,-,-,-,-,-,-,-,,,,
T614,Khalid Duke,FA,LB,-,-,169.83,-,-,-,-,-,,,,
T614,Byron Young,PHI,DT,-,-,169.98,-,-,-,-,-,,,,
T614,Deonte Banks,NYG,CB,696.00,-,170.52,-,-,-,-,-,,,,
T614,Nick Cross,IND,S,154.00,-,164.06,-,-,-,-,-,,0.71,Ques,Hip
T614,Sam Okuayinonu,SF,DE,-,-,170.03,-,-,-,-,-,,,Ques,Groin
T614,Jowon Briggs,CLE,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Fentrell Cypress,FA,CB,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Zah Frazier,CHI,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Kenny Dyson,FA,LB,-,-,169.87,-,-,-,-,-,,,,
T614,Tra Fluellen,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Jalen Moreno-Cropper,DAL,WR,-,-,170.00,-,-,-,427.80,-,,,,
T614,Dontayvion Wicks,GB,WR,203.73,-,169.96,-,247.56,267.60,259.40,236.30,0.90,0.00,Ques,Calf
T614,Jordan Magee,WAS,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Isaiah Neyor,GB,WR,-,-,170.00,-,-,-,-,413.70,,0.00,,
T614,Titus Swen,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Treyton Welch,NO,TE,-,-,-,-,-,-,-,446.00,,,,
T614,D.J. Miller,DET,CB,-,-,-,-,-,-,-,-,,,,
T614,Darien Porter,LV,CB,-,-,170.25,-,-,-,-,-,,,,
T614,M.J. Devonshire,BAL,CB,-,-,170.00,-,-,-,-,-,,,,
T614,J.J. Weaver,CAR,LB,-,-,-,-,-,-,-,-,,,,
T614,Alex Wright,CLE,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Jacardia Wright,SEA,RB,-,-,-,-,-,643.20,-,-,,,,
T614,Ulysses Bentley,IND,RB,-,-,-,-,-,-,558.40,-,,,,
T614,Elijah Chatman,NYG,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Anfernee Orji,TEN,LB,-,-,169.90,-,-,-,-,-,,,IR,Knee - ACL
T614,Ian Wheeler,CHI,RB,-,-,-,-,-,599.30,-,-,,,,
T614,JaVonta Payton,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Amare Barno,FA,LB,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T614,Kei'Trel Clark,ARI,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Tommy Eichenberg,LV,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Justin Lockhart,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Jaden Davis,FA,CB,-,-,169.91,-,-,-,-,-,,,Ques,Undisclosed
T614,Marcus Major,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Spencer Rattler,NO,QB,"1,390.04",-,169.97,176.07,263.32,247.10,361.30,237.60,1.47,0.01,,
T614,Hudson Clark,LV,S,-,-,-,-,-,-,-,-,,,,
T614,Cade Stover,HOU,TE,-,-,169.93,-,243.53,-,364.60,311.60,,0.00,,
T614,Quincy Riley,NO,CB,-,-,169.96,-,-,-,-,-,,,,
T614,Dell Pettus,NE,S,-,-,170.00,-,-,-,-,-,,,,
T614,Javon Solomon,BUF,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Reddy Steward,MIN,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Jalyx Hunt,PHI,LB,733.00,-,170.97,-,-,-,-,-,,,,
T614,De'Montre Tuggle,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Jaquan Brisker,CHI,S,289.00,-,154.75,-,-,-,-,-,,0.80,,
T614,Hayden Hatten,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Daequan Hardy,BUF,CB,-,-,170.00,-,-,-,-,-,,,Ques,Shoulder
T614,Joey Porter,PIT,CB,-,-,170.25,-,-,-,-,-,,,Ques,Hand
T614,Darius Alexander,NYG,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Jerjuan Newton,DEN,WR,-,-,-,-,-,-,479.80,-,,,,
T614,Kaiir Elam,DAL,CB,-,-,170.50,-,-,-,-,-,,,,
T614,Ty'Ron Hopper,GB,LB,-,-,170.47,-,-,-,-,-,,,,
T614,Ja'Markis Weston,NYJ,LB,-,-,-,-,-,-,-,-,,,,
T614,Jaren Hall,FA,QB,-,-,169.97,-,-,-,-,-,,0.00,,
T614,Kedon Slovis,HOU,QB,-,-,-,-,-,541.20,-,-,,,,
T614,Elijah Higgins,ARI,TE,"1,537.31",-,169.94,-,241.21,-,-,-,,,,
T614,Tyler Snead,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Justin Eboigbe,LAC,DT,630.00,-,169.95,-,-,-,-,-,,,,
T614,Trey Knox,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Dontario Drummond,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Sam Williams,DAL,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Snoop Conner,FA,RB,-,-,169.99,-,-,-,-,-,,0.00,,
T614,Darius Robinson,ARI,DE,-,-,170.31,-,-,-,-,-,,,,
T614,Zacch Pickens,CHI,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Kevin Harris,FA,RB,-,-,170.00,-,-,-,-,-,,,,
T614,Makai Polk,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Kayvon Thibodeaux,NYG,LB,513.00,-,172.02,-,-,-,-,-,,,,
T614,Anthony Gould,IND,WR,-,-,169.99,-,-,-,-,-,,,,
T614,Davis Allen,LAR,TE,-,-,169.97,-,-,-,-,-,,,,
T614,Andrew Booth,DAL,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Joseph Ngata,FA,WR,-,-,169.99,-,-,545.30,412.50,451.50,,0.00,,
T614,Omar Speights,LAR,LB,401.00,-,170.92,-,-,-,-,-,,,,
T614,Tyler Davis,LAR,DT,792.00,-,170.00,-,-,-,-,-,,,,
T614,Ruke Orhorhoro,ATL,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Mohamoud Diabate,CLE,LB,614.00,-,171.04,-,-,-,-,-,,,Ques,Undisclosed
T614,Derek Stingley,HOU,CB,431.00,-,169.04,-,-,-,-,-,,0.70,,
T614,Siaki Ika,FA,DT,-,-,169.96,-,-,-,-,-,,,,
T614,TK McLendon,FA,DE,-,-,169.88,-,-,-,-,-,,,,
T614,Tyrion Davis-Price,GB,RB,-,-,169.99,-,-,-,-,-,,,,
T614,Cor'Dale Flott,NYG,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Trey Palmer,TB,WR,"1,594.96",-,169.98,-,-,-,-,-,,0.00,Ques,Hamstring
T614,Jay Ward,MIN,S,759.00,-,170.00,-,-,-,-,-,,,,
T614,Cade York,FA,K,-,-,169.97,-,-,-,583.00,-,,0.00,,
T614,Eric Gray,NYG,RB,-,-,169.97,-,-,-,-,-,,,PUP-P,Undisclosed
T614,Jaylen McCollough,LAR,S,-,-,170.00,-,-,-,-,-,,,,
T614,Dax Milne,FA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Max Tooley,MIN,LB,-,-,-,-,-,-,-,-,,,,
T614,Jacob Saylors,DET,RB,-,-,169.99,-,-,514.70,539.80,-,,0.00,,
T614,Zach Heins,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Jadon Janke,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Jesse Matthews,ATL,WR,-,-,-,-,-,-,-,-,,,,
T614,Markees Watts,TB,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Nate Adkins,DEN,TE,-,-,169.99,-,241.21,-,-,-,,,Out,Ankle
T614,Riley Moss,DEN,CB,438.00,-,170.66,-,-,-,-,-,,0.04,,
T614,Rory Starkey,FA,WR,-,-,-,-,-,-,-,-,,,Ques,Calf
T614,Tanner McLachlan,CIN,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Sam Wiglusz,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Xavier Smith,LAR,WR,-,-,169.99,-,-,-,678.90,-,,,,
T614,Isaiah Land,IND,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Zimari Manning,FA,WR,-,-,-,-,-,-,492.50,-,,,,
T614,Josh Johnson,FA,RB,-,-,169.99,-,-,-,-,-,,,Ques,Undisclosed
T614,Cody Schrader,LAR,RB,-,-,169.99,-,-,-,-,-,,,,
T614,Dee Alford,ATL,CB,668.00,-,170.59,-,-,-,-,-,,,,
T614,Shemar Bridges,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Brandon Lewis,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Riley Sharp,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,John Metchie,PHI,WR,"1,218.92",-,169.97,-,245.16,-,353.00,388.30,,0.00,,
T614,Taulia Tagovailoa,FA,QB,-,-,-,-,-,578.40,-,-,,,,
T614,Jaylon Allen,SF,LB,-,-,-,-,-,-,-,-,,,,
T614,Kitan Oladapo,GB,S,-,-,170.00,-,-,-,-,-,,,,
T614,Teagan Quitoriano,ATL,TE,-,-,169.99,-,-,-,-,-,,,,
T614,Tommy Tremble,CAR,TE,"1,400.07",-,169.94,-,243.87,-,-,-,0.72,0.00,PUP-P,Back
T614,John Hightower,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Scott Matlock,LAC,FB,-,-,169.87,-,-,-,-,-,,0.00,,
T614,Jordan Davis,PHI,DT,-,-,170.13,-,-,-,-,-,,,,
T614,John FitzPatrick,GB,TE,-,-,169.98,-,-,-,-,-,,0.00,,
T614,Jaylen Johnson,LAC,WR,-,-,170.00,-,-,-,-,-,,0.00,,
T614,Azeez Ojulari,PHI,LB,-,-,170.80,-,-,-,-,-,,,,
T614,Jack Podlesny,FA,K,-,-,-,-,-,-,-,-,,,,
T614,Otis Reese,FA,LB,-,-,170.85,-,-,-,-,-,2.62,,,
T614,Chris Smith,LV,S,-,-,170.00,-,-,-,-,-,,,,
T614,Channing Tindall,MIA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Quay Walker,GB,LB,298.00,-,173.91,-,-,-,-,-,,0.29,Ques,Ankle
T614,Malkelm Morrison,FA,CB,-,-,-,-,-,-,-,-,,,,
T614,Kyu Blu Kelly,LV,CB,-,-,169.95,-,-,-,-,-,,,,
T614,John Jackson,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Drake Jackson,FA,DE,-,-,170.00,-,-,-,-,-,,,Ques,Knee
T614,Owen Pappoe,ARI,LB,-,-,170.71,-,-,-,-,-,,,,
T614,Colby Wooden,GB,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Derick Hall,SEA,LB,-,-,170.43,-,-,-,-,-,,,,
T614,Luke Deal,FA,TE,-,-,-,-,-,-,-,-,,,Ques,Undisclosed
T614,Laiatu Latu,IND,DE,535.00,-,171.54,-,-,-,-,-,,,,
T614,Trent McDuffie,KC,CB,339.00,-,170.42,-,-,-,-,-,,,,
T614,Thomas Harper,LV,S,-,-,169.99,-,-,-,-,-,,,,
T614,Max Duggan,FA,QB,-,-,169.95,-,-,-,555.00,-,,0.00,,
T614,DeMarvin Leal,PIT,DT,-,-,170.00,-,-,-,-,-,,,,
T614,Caden Davis,BUF,K,"1,361.00",-,169.85,-,-,-,-,-,,0.00,,
T614,Baylor Cupp,BAL,TE,-,-,169.99,-,-,511.10,-,586.40,,,,
T614,Tre Tomlinson,SF,CB,-,-,170.00,-,-,-,-,-,,,IR,Undisclosed
T614,Dee Winters,SF,LB,-,-,171.43,-,-,-,-,-,,,,
T614,Drake Thomas,SEA,LB,-,-,170.53,-,-,-,-,-,,,,
T614,Zonovan Knight,ARI,RB,-,-,169.99,-,-,-,-,-,,,,
T614,Corey Ballentine,GB,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Ahmarean Brown,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Demetrius Knight,CIN,LB,-,-,171.52,40.62,-,-,-,-,,,,
T614,Jawhar Jordan,HOU,RB,-,-,169.99,-,241.18,-,-,-,,,,
T614,Courtney Jackson,DEN,WR,-,-,-,-,-,-,-,487.00,,,,
T614,Damon Sheehy-Guiseppi,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jared Wiley,KC,TE,-,-,169.97,-,-,-,-,393.00,,0.00,,
T614,Jordan Whittington,LAR,WR,296.54,-,170.16,-,272.92,270.70,295.80,245.10,,0.00,,
T614,Eli Pancol,JAX,WR,-,-,-,-,-,-,-,-,,,,
T614,John Cominsky,FA,DE,-,-,170.00,-,-,-,-,-,,,Ques,Knee - MCL
T614,Ty Zentner,FA,P,-,-,170.35,-,-,-,-,-,,,,
T614,Jon Alexander,FA,S,-,-,-,-,-,-,-,-,,,,
T614,Theo Wease,MIA,WR,-,-,170.00,-,-,-,-,-,,,,
T614,Jadon Haselwood,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Tyler Nubin,NYG,S,300.00,-,175.84,-,-,-,-,-,,0.15,,
T614,Quandre Mosely,FA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Brandin Echols,PIT,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Devaughn Vele,DEN,WR,237.70,-,170.10,-,257.55,273.90,351.50,308.70,1.19,0.00,,
T614,Luke McCaffrey,WAS,WR,267.18,-,169.83,-,263.20,341.70,287.30,267.20,,0.01,,
T614,Ty Robinson,PHI,DE,-,-,170.06,-,-,-,-,-,,,,
T614,Bralen Trice,ATL,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Mazi Smith,DAL,DT,767.00,-,170.30,-,-,-,-,-,,,,
T614,David Ojabo,BAL,LB,-,-,170.01,-,-,-,-,-,,,,
T614,Erick All,CIN,TE,-,-,169.99,-,242.05,-,-,342.80,,,PUP-P,Knee - ACL
T614,Tre Mosley,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Christian Wade,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Valentine Holmes,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Mike Sainristil,WAS,CB,333.00,-,166.03,-,-,-,-,-,,0.30,,
T614,Graham Mertz,HOU,QB,-,-,169.99,-,-,-,693.20,-,,,,
T614,Leo Chenal,KC,LB,633.00,-,171.25,-,-,-,-,-,,,,
T614,Sauce Gardner,NYJ,CB,749.00,-,168.64,-,-,-,-,-,,0.25,Ques,Calf
T614,Tre Tucker,LV,WR,244.63,-,170.17,180.50,258.97,311.80,332.10,298.70,1.51,0.00,,
T614,Eric Watts,NYJ,DE,-,-,170.00,-,-,-,-,-,,,,
T614,Damarion Williams,SEA,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Ja'Quan McMillian,DEN,CB,411.00,-,170.13,-,-,-,-,-,,,,
T614,Antonio Grier,TB,LB,-,-,170.53,-,-,-,-,-,,,,
T614,Eku Leota,PIT,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Ronnie Hickman,CLE,S,-,-,170.00,-,-,-,-,-,,,,
T614,Zach Harrison,ATL,DE,-,-,170.00,-,-,-,-,-,,,,
T614,George Karlaftis,KC,DE,410.00,-,174.31,-,-,-,-,-,,0.09,,
T614,Jalen Graham,SF,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Brandon Smith,FA,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Adisa Isaac,BAL,LB,-,-,170.00,-,-,-,-,-,,,Ques,Elbow
T614,Noah Cain,FA,RB,-,-,-,-,-,-,-,-,,,,
T614,Kain Medrano,WAS,LB,-,-,170.00,-,-,-,-,-,,,,
T614,Zakhari Franklin,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jamari Thrash,CLE,WR,"1,211.00",-,169.97,-,241.56,-,-,418.70,,,,
T614,Trevon Clark,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Kay'Ron Lynch-Adams,CAR,RB,-,-,-,-,-,-,-,503.80,,,,
T614,Travis Koontz,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Austin McNamara,NYJ,P,774.00,-,166.35,-,-,-,-,-,,1.63,,
T614,Dadrion Taylor-Demerson,ARI,S,-,-,170.02,-,-,-,-,-,,,,
T614,Xavier White,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Craig Woodson,NE,S,-,-,170.00,-,-,-,-,-,,,,
T614,Isaac Rex,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Oscar Cardenas,ARI,TE,-,-,-,-,-,-,-,-,,,,
T614,Nahshon Wright,CHI,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Alex Austin,NE,CB,-,-,169.94,-,-,-,-,-,,,,
T614,Marcus Harris,TEN,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Luke Musgrave,GB,TE,568.37,-,169.88,-,268.53,339.50,330.90,291.10,,0.00,,
T614,Ryan Coe,FA,K,-,-,-,-,-,-,675.50,-,,,,
T614,Mekhi Garner,FA,CB,-,-,169.95,-,-,-,-,-,,,,
T614,Keeanu Benton,PIT,DT,-,-,170.24,-,-,-,-,-,,,,
T614,Maema Njongmeta,CIN,LB,790.00,-,170.08,-,-,-,-,-,,,,
T614,Tuasivi Nomura,FA,LB,-,-,-,-,-,-,-,-,,,,
T614,Te'Cory Couch,BUF,CB,-,-,-,-,-,-,-,-,,,Ques,Hamstring
T614,Michael Wiley,KC,RB,-,-,169.99,-,-,-,-,674.70,,0.00,,
T614,Nic Jones,NYG,CB,-,-,170.00,-,-,-,-,-,,,,
T614,Alijah Huzzie,HOU,CB,-,-,-,-,-,-,-,-,,,NFI-A,Undisclosed
T614,Trevon Mason,FA,DT,-,-,-,-,-,-,-,-,,,,
T614,Da'Quan Felton,NYG,WR,-,-,-,-,-,-,-,-,,,,
T614,Martin Emerson,CLE,CB,713.00,-,170.00,-,-,-,-,-,,,IR,Achilles
T614,Luke Benson,FA,TE,-,-,-,-,-,-,-,-,,,,
T614,Jarrian Jones,JAX,CB,-,-,169.96,-,-,-,-,-,,,,
T614,Tayvion Robinson,FA,WR,-,-,-,-,-,-,-,672.00,,,Ques,Undisclosed
T614,Keshunn Abram,FA,WR,-,-,-,-,-,-,-,-,,,,
T614,Jonathan Kim,FA,K,-,-,-,-,-,429.00,-,-,,,,
T614,Jarvis Brownlee,TEN,CB,426.00,-,170.47,-,-,-,-,-,,,,
T614,Dalevon Campbell,LAC,WR,-,-,-,-,-,-,508.00,-,,,,
T614,Ryan Fitzgerald,CAR,K,-,-,169.81,-,-,700.80,-,-,,0.00,,
